NumUnit,description,unit,source_code_description
NumUnit,mmol/L,unit,millimole per liter
NumUnit,10*9/L,unit,billion per liter
NumUnit,mm Hg,unit,millimeter mercury column
NumUnit,g/L,unit,gram per liter
NumUnit,umol/L,unit,micromole per liter
NumUnit,mmHg,unit,millimeter mercury column
NumUnit,%,unit,percent
NumUnit,kg,unit,kilogram
NumUnit,u/L,unit,unit per liter
NumUnit,fL,unit,femtoliter
NumUnit,iu/L,unit,international unit per liter
NumUnit,pg,unit,picogram
NumUnit,cm,unit,centimeter
NumUnit,10*12/L,unit,trillion per liter
NumUnit,g/dL,unit,gram per deciliter
NumUnit,kg/m2,unit,kilogram per square meter
NumUnit,beats/min,unit,heartbeat
NumUnit,x10^9/l,unit,billion per liter
NumUnit,ml/min,unit,milliliter per minute
NumUnit,mu/L,unit,milliunit per liter
NumUnit,l/l,unit,liter per liter
NumUnit,ug/L,unit,microgram per liter
NumUnit,mg/L,unit,milligram per liter
NumUnit,mmol/mol,unit,millimole per mole
NumUnit,10^9/l,unit,billion per liter
NumUnit,pmol/L,unit,picomole per liter
NumUnit,units/week,unit,per week
NumUnit,x10*9/L,unit,billion per liter
NumUnit,l/min,unit,liter per minute
NumUnit,mIU/L,unit,milli-international unit per liter
NumUnit,U/week,unit,unit per week
NumUnit,degrees C,unit,degree Celsius
NumUnit,ratio,unit,ratio
NumUnit,mm/h,unit,millimeter per hour
NumUnit,ng/L,unit,nanogram per liter
NumUnit,mm[Hg],unit,millimeter mercury column
NumUnit,ml/min/1.73m2,unit,milliliter per minute per 1.73 square meter
NumUnit,nmol/L,unit,nanomole per liter
NumUnit,/minute,unit,per minute
NumUnit,/day,unit,per 24 hours
NumUnit,/4,unit,score
NumUnit,ml/min/1.73m*2,unit,milliliter per minute per 1.73 square meter
NumUnit,mg/mmol,unit,milligram per millimole
NumUnit,01-Jan,unit,liter per liter
NumUnit,/12,unit,score
NumUnit,10 9/L,unit,billion per liter
NumUnit,x 10*9/L,unit,billion per liter
NumUnit,ml/min/1.73m^2,unit,milliliter per minute per 1.73 square meter
NumUnit,Cigarettes/day,unit,per 24 hours
NumUnit,ng/mL,unit,nanogram per milliliter
NumUnit,Unk UoM,unit,unit
NumUnit,x10^12/l,unit,trillion per liter
NumUnit,/uL,unit,per microliter
NumUnit,[iU]/L,unit,international unit per liter
NumUnit,s,unit,second
NumUnit,x10*12/L,unit,trillion per liter
NumUnit,mm/Hg,unit,millimeter mercury column
NumUnit,l,unit,liter
NumUnit,mm/hr,unit,millimeter per hour
NumUnit,l/minute,unit,liter per minute
NumUnit,10^12/l,unit,trillion per liter
NumUnit,.,unit,
NumUnit,/year,unit,per year
NumUnit,*10^9/l,unit,billion per liter
NumUnit,litre,unit,liter
NumUnit,/3,unit,score
NumUnit,10*9 cells/L,unit,billion cells per liter
NumUnit,/40,unit,score
NumUnit,x10\S\9l,unit,billion per liter
NumUnit,units,unit,unit
NumUnit,x10^9,unit,per billion
NumUnit,/27,unit,score
NumUnit,UNKNOWN UNITS,unit,unit
NumUnit,per cent,unit,percent
NumUnit,per day,unit,per 24 hours
NumUnit,U/mL,unit,unit per milliliter
NumUnit,beats/minute,unit,heartbeat
NumUnit,iu/ml,unit,international unit per milliliter
NumUnit,10^9,unit,billion
NumUnit,10*6/L,unit,million per liter
NumUnit,ku/L,unit,kilounit per liter
NumUnit,pg/mL,unit,picogram per milliliter
NumUnit,/16,unit,score
NumUnit,/25,unit,score
NumUnit,mm,unit,millimeter
NumUnit,{beats}/min,unit,heartbeat
NumUnit,Litres,unit,liter
NumUnit,10**9/L,unit,billion per liter
NumUnit,mPa.s,unit,millipascal second
NumUnit,m[iU]/L,unit,milli-international unit per liter
NumUnit,bpm,unit,heartbeat
NumUnit,CPMS ID,unit,
NumUnit,x10*6/L,unit,million per liter
NumUnit,mL/min/1.73.ar,unit,milliliter per minute per 1.73 square meter
NumUnit,mLs/min,unit,milliliter per minute
NumUnit,times/week,unit,per week
NumUnit,x10e9/l,unit,billion per liter
NumUnit,/9,unit,score
NumUnit,mg,unit,milligram
NumUnit,/mm*3,unit,per cubic millimeter
NumUnit,/L,unit,per liter
NumUnit,ml/min/1.73 m2,unit,milliliter per minute per 1.73 square meter
NumUnit,%CV,unit,percent
NumUnit,/21,unit,score
NumUnit,/100WBC,unit,per 100 white blood cells
NumUnit,{units}/wk,unit,unit per week
NumUnit,10*3/uL,unit,thousand per microliter
